9781612191560	9780812979299	P
9780425288313	9780385392051	P
9780886779306	9780142418802	D
9781588368065	9780375702686	S
9780307986146	9780307415417	P
9781101911273	9780735227439	D
9781602194991	9781556434938	D
9781632360717	9780940450851	P
9780143186915	9780307472250	P
9780448486734	9781101167199	D
9781590173954	9781101602447	D
9780307416957	9780812983678	P
9781607749073	9780441000074	D
9781576757611	9781583331538	P
9780763663148	9780385260473	D
9780807083550	9780307570772	P
9781415912829	9781440696244	P
9780553574135	9780307476449	D
9780449814932	9780140424478	D
9780307744425	9780375854507	D
9780451415660	9781588369437	P
9780763657161	9780399168567	S
9780375727740	9780763665197	D
9780307758088	9781607743606	P
9781578566952	9780345806727	P
9781400085750	9781465429179	P
9780763688516	9780804169080	D
9780307554888	9780804180597	D
9780804167796	9780525508953	D
9780441020096	9780307776464	D
9780553258479	9780307460127	D
9781594480034	9781101531310	P
9780425257210	9780399168666	D
9780399256721	9780771055430	D
9780812974225	9781591846598	D
9780448453705	9781101464359	D
9780812987690	9780425219393	D
9780345503558	9780140247596	P
9780143105800	9780817435851	D
9780307930446	9781616950767	D
9780807046173	9780441013937	D
9780399529580	9781631404030	D
9780525520757	9780698115538	D
9780679767329	9780425218686	D
9780763627522	9780142417027	P
9780804180931	9780451469311	S
9780679776703	9780425179888	P
9780375726521	9780756404932	P
9780425256305	9780142301524	D
9780307475275	9780857660718	D
9780307716477	9781784782733	S
9781782210863	9781568364803	P
9780399586088	9780425251928	P
9780425253953	9780451221254	D
9780553494303	9781101133668	D
9780307422439	9780375891984	D
9780553391169	9780803738461	D
9780886779764	9780147514660	D
9781780282862	9780451417329	D
9781616556952	9780805212013	D
9781583335789	9781101215456	P
9780425262849	9780553382501	D
9780448089171	9781616952983	D
9780525428350	9781635651836	D
9781101997697	9780451230959	D
9781465470300	9781591846406	D
9780307591630	9780895948649	P
9781465415820	9780425166932	S
9780451463463	9781465443953	D
9781632362681	9780515153545	P
9780823421169	9780143184140	P
9780767912747	9780763676681	D
9780553294026	9780425226070	P
9780143106708	9781101169162	D
9780451223890	9780807063415	S
9780553592665	9780142409329	D
9780399547447	9780425237434	D
9780142181539	9780736435963	D
9780449902332	9780525563334	D
9780553447392	9780385536677	D
9780736435062	9780553374124	D
9780142424322	9781578565825	D
9780425224854	9780698181212	D
9780448425290	9780375843297	D
9780345525352	9780525432890	D
9781616147730	9780452298477	D
9780425275917	9780553382396	P
9781465457042	9780449814932	D
9780763659387	9780375708084	D
9781630082567	9780451211477	P
9780887766602	9780739342473	D
9780307808745	9780399594090	D
9781616551537	9780307742322	D
9780307415301	9781605295626	P
9780307815958	9780756411138	D
9780385493710	9780449912461	D
9780140437508	9780307597038	P
9780739373491	9780449002001	D
9781588365064	9781583948538	S
9780440225966	9781580891905	D
9780142418161	9780763695880	S
9781633882430	9781601422217	S
9780307783974	9781440621482	D
9781630085445	9780345525864	D
9780425237168	9781859845257	D
9781101166031	9781631409035	D
9780525423416	9780452274143	D
9780425171202	9780887764912	D
9781621150251	9780140441376	D
9781578569540	9780887765872	D
9780307779175	9780940322806	D
9780679761662	9781909263413	D
